cc,banco,documento,pct,minimo_por_operacion,cuota_mensual,segun_acuerdo(s/n),fuente_url,cita,fecha
CY,Bank of Cyprus,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
CY,JCC,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
ES,Banco Sabadell / PAYCOMET,Página TPV empresas — condiciones vigentes; promoción claramente identificada,"0,20% particular nacional; 0,40% particular EEE; 0,80% empresa nacional; 1,80% + 0,39 EUR empresa EEE y particular no EEE; 2,20% + 0,39 EUR empresa no EEE; 2,95% B2B","0,07 EUR en particulares EEE y empresa nacional; 0,46 EUR en empresa EEE/no EEE y particular no EEE","0 EUR primeros 6 meses; desde mes 7: 9 EUR Smart/Smart Phone & Sell, 7 EUR Smart Mini, 6 EUR datáfono, 2 EUR SoftPOS; exención si >=20 operaciones o >=4.000 EUR/mes",n,https://www.bancsabadell.com/bsnacional/es/empresas/tpv/,"«0,20 % ... mínimo de 0,07 €»; «1,80 % + 0,39 €, con un mínimo ... 0,46 €»; «a partir del 7.º mes ... 9 € ... 7 € ... 6 € ... 2 € mensuales».",2026-08-20
ES,BBVA,TPV Virtual — página de tarifas,"desde 0,40%, según forma de pago",NO_ENCONTRADO,TPV Virtual: precio según facturación mensual; la página también muestra 'gratis' dentro de la opción de tarifa mensual,n,https://www.bbva.es/empresas/productos/tpv/tpv-virtual.html,"«Facturación por un porcentaje de cada venta: desde 0,40% según la forma de pago»; «TPV Virtual: precio según tu facturación mensual».",2026-08-20
ES,CaixaBank / Comercia Global Payments,Tarifa Plana MyCommerce Smartphone — estándar por tramos y promoción nuevos comercios,"cuota por tramos; sobre exceso >25.000 EUR/mes: 1,15%","0,05 EUR sobre operaciones del exceso","estándar: 6/18/30/38/49/74/94/114 EUR según tramo hasta 25.000 EUR; promo 0 EUR primeros 6 meses; TPV adicional 9 EUR, Smartphone adicional 3 EUR + IVA",n,https://www.caixabank.es/empresa/negocios/tap-to-pay.html,"«Hasta 2.000,00 € | 6 € ... hasta 25.000,00 € | 114 €»; «114 € más el 1,15 % (mínimo 0,05 € por operación)»; «promoción ... gratuita durante los primeros 6 meses».",2026-08-20
IT,Banco BPM / Numia,"Foglio informativo Numia — Servizio Acquisizione Pagamenti con Carta, FI_n1_16.07.26",máximo 6% tarjetas internacionales y BANCOMAT; extra-EEE +3% cuando aplica,"máximo 2,00 EUR tarjetas internacionales; máximo 1,00 EUR BANCOMAT",Mobile 15 EUR; Desktop 40 EUR; Android 50 EUR; Unattended 30 EUR; SoftPOS 5 EUR + IVA,s,https://www.bancobpm.it/DWN/trasparenza/Documenti/64497.pdf,"«condizioni economiche massime ... condizioni applicate ... nel Documento di Sintesi»; Visa/Mastercard «6 % | 2,00 € | 3 %»; «Mobile POS - canone mensile € 15,00»; «Desktop ... € 40,00».",2026-07-16
IT,BPER Banca / Nexi,POS per pagamenti in negozio — oferta individual actual,SEGÚN_ACUERDO,NO_ENCONTRADO,NO_ENCONTRADO,s,https://www.bper.it/imprese-professionisti/incassi-pagamenti/incassi-commerciali/pos/negozio,«Trova insieme a noi la soluzione più adatta per il tuo business e personalizziamo insieme l'offerta sulle tue reali esigenze»; «Le condizioni? Le costruiamo insieme».,2026-08-20
PT,Novo Banco,TPA Negócios — TPA SmartPOS,"volumen incluido por cuota; exceso 0,9%; tarjetas empresa/no EEE 2,35%","0,06 EUR + 0,06 EUR fijo por operación en exceso y en empresa/no EEE","SmartPOS 15,50/22/29/42/57/67 EUR según volumen incluido; fijo/móvil 13,50/20/27/40/55/65 EUR",n,https://www.novobanco.pt/empresas/tesouraria/cobrancas/servico-pagamento-automatico/terminal-de-pagamento-automatico-tpa,"«15,50€/mês ... inclui 500€»; «Excedente: 0,9% por transação (mín. 0,06€) + 0,06€ fixos»; «cartões ... fora do EEE ... 2,35% (mín. 0,06€) + 0,06».",2026-08-20
PT,Santander Totta / Getnet,Getnet by Santander — tarifas Básica/Plana/Premium,"Básica desde 0,60%; Premium desde 0,40%; Plana sin comisión por transacción hasta 10.000 EUR/mes",NO_ENCONTRADO,Get Smart/Classic 10 EUR; Link & Pay/Checkout 15 EUR; Tap on Phone/Mini 5 EUR; Plana desde 8 EUR,s,https://www.santander.pt/empresas/tesouraria/pagamentos-cobrancas/tpa-getnet,"«Desde 0,60% por transação ... custo de acordo com a sua atividade»; «Desde 8,00€/mês ... sem comissões por transação ... até 10.000€/mês»; «Tarifa Premium ... desde 0,40%».",2026-08-20
GR,National Bank of Greece / NBG Pay,POS para profesionales — PAX A80,NO_ENCONTRADO (MSC adquirencia),NO_ENCONTRADO,"compra 169 EUR + mantenimiento 3,90 EUR/mes; alternativa alquiler: 79 EUR inicial + 8,90 EUR/mes",n,https://www.nbg.gr/el/epaggelmaties/proionta-upiresies/eisprakseis-plirwmes/pos,"«Τιμή αγοράς: 169€»; «Μηνιαίο κόστος συντήρησης: 3,90€»; alquiler «προκαταβολή 79,00€ ... 8,90€»; permanencia mínima 24 meses.",2026-08-20
GR,Alpha Bank / Nexi,Nexi e-Commerce — condiciones comerciales,SEGÚN_ACUERDO,NO_ENCONTRADO,0 EUR conexión y 0 EUR cuota periódica,s,https://www.alpha.gr/el/epixeiriseis/myalpha/Ilektroniko-emporio/nexi-e-commerce,«χωρίς έξοδα για τη σύνδεση ή περιοδικές χρεώσεις»; «προμήθεια ανά συναλλαγή που θα συμφωνείτε με το Κατάστημα συνεργασίας κατά την ένταξη».,2026-08-20
HR,Privredna banka Zagreb / PBZ Card / Nexi Croatia,Poslovna suradnja i prihvaćanje kartica — solicitud de oferta,SEGÚN_ACUERDO,NO_ENCONTRADO,NO_ENCONTRADO,s,https://www.pbz.hr/mali-poduzetnici/prihvat-kartica.html,«Ponudu zatražite ... u najbližem PBZ Sinergo desku; putem PBZ Carda ... prodaja@pbzcard.hr».,2026-08-20
DE,Sparkassen-Händlerservice / PAYONE,PAYONE All Time Flex — distribuido por Sparkasse S-POS,"0,89% girocard; 1,90% tarjeta de crédito",NO_ENCONTRADO,"desde 0,00 EUR/mes",n,https://www.payone.com/DE-de/ueber-uns/insights/mobiles-ec-kartenlesegeraet,"«All Time Flex ... ab 0,00 € pro Monat»; «0,89 % girocard-Gebühr»; «1,90 % Kreditkartengebühr». Sparkasse identifica a PAYONE como contraparte del contrato de comercio.",2026-08-20
DE,Commerzbank / Commerz Globalpay,Kartenterminal — oferta individual,SEGÚN_ACUERDO,NO_ENCONTRADO,NO_ENCONTRADO,s,https://www.commerzbank.de/unternehmerkunden/zahlungsverkehr/kartenzahlungsterminal/,«Nach einer persönlichen Beratung durch Commerz Globalpay erhalten Sie Ihr individuelles Angebot».,2026-08-20
PL,PKO Bank Polski / eService,Terminal płatniczy — oferta estándar fuera de Polska Bezgotówkowa,"Visa 0,55%; Mastercard 0,55%; Discover 3,20%; UPI/JCB 0,99%; Amex 2,5%; BLIK 0,39%",NO_ENCONTRADO,"39,99 PLN terminal estándar; 29,90 PLN SmartPOS; 4,99 PLN eService tom",n,https://www.pkobp.pl/firmy/uslugi-dla-firm/terminal-platniczy,"«Visa: 0,55%; Mastercard: 0,55%»; «Najem terminala ... 39,99 zł/mies.; ... SmartPOS 29,90 zł/mies.; ... eService tom 4,99 zł/mies.».",2026-08-20
PL,Bank Pekao,"Terminal płatniczy — oferta traslado, vigente hasta 31-12-2026","0,7%","0,04 PLN",1 PLN/mes durante 24 meses,n,https://www.pekao.com.pl/terminal-platniczy.html,"«1 zł za najem sprzętu przez 24 miesiące»; «0,7% jedna stała stawka prowizji»; «0,04 zł ... opłata groszowa»; «Oferta ważna do 31.12.2026 r.».",2026-08-20
CY,JCC Payment Systems,New Merchant Registration / solicitud de comercio,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,n,https://www.jcc.com.cy/become-a-merchant/,"«Download and complete the application form ... submit ... to customerservice@jcc.com.cy»; la página no publica porcentaje, mínimo ni alquiler/cuota.",2026-08-20
GB,Lloyds Bank Cardnet,mPOS — pay as you go,"1,75% todas las principales tarjetas",NO_ENCONTRADO,0 GBP/mes; lector inicial 49 GBP pago único,n,https://www.lloydsbank.com/business/take-payments-with-cardnet/card-readers/mpos.html,«£49 one-off ... No monthly fees and a fixed 1.75% transaction rate»; «All cards charged at 1.75%».,2026-08-20
