cc,provider,plan,channel,card_class,rate_bps,fixed_minor,monthly_fee_minor,fee_currency,small_ticket_threshold_minor,small_ticket_monthly_cap_minor,published_breakeven_minor,verified_url,verified_quote,verified_at,confidence,scheme,funding,issuer_region,tier,_traducida,rate_is_blended,online_surface,_ronda,_origen,monthly_minimum_fee_minor,currency,volume_band_min,volume_band_max,pricing_band_basis,txn_count_band_min,txn_count_band_max,source_type,seed_status,note,eligible_mix_prior,source_round,provenance,product,standard_monthly_fee_minor,promo_free_months,installation_fee_minor,deinstallation_fee_minor,comparison_eligible,valid_until
FR,SumUp,any,online,,250,,,,,,,sumup.com/fr-fr/paiements-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8497,R1+R2+R3,primary_verified,,,,,,,
IT,SumUp,payg,in_store,,195,,,,,,,sumup.com/it-it/pagamenti-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8444,R1+R2+R3,primary_verified,,,,,,,
IT,SumUp,plus,in_store,,95,,1900,,1000,750000,225000,sumup.com/it-it/pagamenti-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8444,R1+R2+R3,primary_verified,,,,,,,
IT,SumUp,plus,in_store,,195,,1900,,1000,750000,,sumup.com/it-it/pagamenti-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8444,R1+R2+R3,primary_verified,,,,,,,
IT,SumUp,any,online,,250,,,,,,,sumup.com/it-it/pagamenti-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8444,R1+R2+R3,primary_verified,,,,,,,
CY,Stripe,standard,online,,150,25,,,,,,https://stripe.com/cy/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
CY,Stripe,standard,online,,280,25,,,,,,https://stripe.com/cy/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
CY,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/cy/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
CY,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/cy/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
HR,Stripe,standard,online,,150,25,,,,,,https://stripe.com/hr/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
HR,Stripe,standard,online,,280,25,,,,,,https://stripe.com/hr/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
HR,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/hr/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
HR,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/hr/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
IT,Stripe,standard,online,,150,25,,,,,,https://stripe.com/it/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,Stripe,standard,online,,280,25,,,,,,https://stripe.com/it/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/it/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/it/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
LT,Stripe,standard,online,,150,25,,,,,,https://stripe.com/lt/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LT,Stripe,standard,online,,280,25,,,,,,https://stripe.com/lt/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LT,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/lt/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LT,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/lt/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
LU,Stripe,standard,online,,150,25,,,,,,https://stripe.com/lu/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LU,Stripe,standard,online,,280,25,,,,,,https://stripe.com/lu/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LU,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/lu/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LU,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/lu/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
LV,Stripe,standard,online,,150,25,,,,,,https://stripe.com/lv/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LV,Stripe,standard,online,,280,25,,,,,,https://stripe.com/lv/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LV,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/lv/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LV,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/lv/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
MT,Stripe,standard,online,,150,25,,,,,,https://stripe.com/mt/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
MT,Stripe,standard,online,,280,25,,,,,,https://stripe.com/mt/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
MT,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/mt/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
MT,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/mt/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
PT,Stripe,standard,online,,150,25,,,,,,https://stripe.com/pt/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
PT,Stripe,standard,online,,280,25,,,,,,https://stripe.com/pt/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
PT,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/pt/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
PT,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/pt/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
SI,Stripe,standard,online,,150,25,,,,,,https://stripe.com/si/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SI,Stripe,standard,online,,280,25,,,,,,https://stripe.com/si/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SI,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/si/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SI,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/si/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
SK,Stripe,standard,online,,150,25,,,,,,https://stripe.com/sk/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SK,Stripe,standard,online,,280,25,,,,,,https://stripe.com/sk/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SK,Stripe,standard,in_store,,140,10,,,,,,https://stripe.com/sk/pricing,1.4% + €0.10,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
SK,Stripe,standard,in_store,,290,10,,,,,,https://stripe.com/sk/pricing,2.9% + €0.10,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,Physical Terminal reader.,,,,,,,,,,
GR,Stripe,standard,online,,150,25,,,,,,https://stripe.com/gr/pricing,1.5% + €0.25,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
GR,Stripe,standard,online,,280,25,,,,,,https://stripe.com/gr/pricing,2.8% + €0.25,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
HU,Stripe,standard,online,,150,85,,,,,,https://stripe.com/hu/pricing,1.5% + 85 HUF,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,HUF,,,none,,,published,SEEDABLE,,,,,,,,,,,
HU,Stripe,standard,online,,280,85,,,,,,https://stripe.com/hu/pricing,2.8% + 85 HUF,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,HUF,,,none,,,published,SEEDABLE,,,,,,,,,,,
HU,Stripe,standard,in_store,,140,20,,,,,,https://stripe.com/hu/pricing,1.4% + 20 HUF,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,HUF,,,none,,,published,SEEDABLE,,,,,,,,,,,
HU,Stripe,standard,in_store,,290,20,,,,,,https://stripe.com/hu/pricing,2.9% + 20 HUF,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,HUF,,,none,,,published,SEEDABLE,,,,,,,,,,,
RO,Stripe,standard,online,,150,100,,,,,,https://stripe.com/ro/pricing,1.5% + 1.00 RON,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,RON,,,none,,,published,SEEDABLE,,,,,,,,,,,
RO,Stripe,standard,online,,280,100,,,,,,https://stripe.com/ro/pricing,2.8% + 1.00 RON,2026-08-19,,any,any,eea,premium,,false,any,R2,CAMBRA_acquiring_gaps.csv,,RON,,,none,,,published,SEEDABLE,,,,,,,,,,,
RO,Stripe,standard,in_store,,140,25,,,,,,https://stripe.com/ro/pricing,1.4% + 0.25 RON,2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,RON,,,none,,,published,SEEDABLE,,,,,,,,,,,
RO,Stripe,standard,in_store,,290,25,,,,,,https://stripe.com/ro/pricing,2.9% + 0.25 RON,2026-08-19,,any,any,non_eea,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,RON,,,none,,,published,SEEDABLE,,,,,,,,,,,
LT,SumUp,payg,in_store,,169,0,,,,,,https://www.sumup.com/lt-lt/kainodara/,"1,69% operacijos mokestis",2026-08-19,,any,any,any,any,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
LT,SumUp,payg,online,,169,0,,,,,,https://www.sumup.com/lt-lt/kainodara/,"1,69% operacijos mokestis",2026-08-19,,any,any,any,any,,false,payment_link,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
DK,SumUp,payg,in_store,,89,,,,,,,,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,DKK,,,,,,published,SEEDABLE,Comision general. NO es la tarifa Dankort. | URL_PENDIENTE_REVERIFICACION,,R1+R3,report_table,,,,,,,
IT,UniCredit,published_offer,in_store,,75,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"0,75% Acquiring Diretto Carte Consumer",2026-08-19,,any,any,domestic,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,in_store,,90,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"0,90%",2026-08-19,,any,any,eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,in_store,,200,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"2,00%",2026-08-19,,any,any,non_eea,standard,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,in_store,,210,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"2,10%",2026-08-19,,any,any,any,commercial,,false,any,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,online,,125,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"1,25%",2026-08-19,,any,any,eea,standard,,false,ecommerce_gateway,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,online,,240,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"2,40%",2026-08-19,,any,any,non_eea,standard,,false,ecommerce_gateway,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
IT,UniCredit,published_offer,online,,280,0,,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"2,80%",2026-08-19,,any,any,any,commercial,,false,ecommerce_gateway,R2,CAMBRA_acquiring_gaps.csv,,EUR,,,none,,,published,SEEDABLE,,,,,,,,,,,
FI,SumUp,plus,in_store,,149,,1900,,,,,https://www.sumup.com/fi-fi/maksut-plus/,"veloitetaan 1,49 %:n palkkio",2026-08-19,,any,any,non_eea,premium,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Use 1.49%. The English 1.99% Solo Lite footnote is cross-locale boilerplate.,,R4,primary_verified,Payments Plus,,,,,true,
SI,SumUp,plus,in_store,,195,,1900,,,,,https://www.sumup.com/sl-si/cene/,zaračuna provizija v višini 1.95%,2026-08-19,,any,any,non_eea,premium,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Use 1.95%. The English 1.99% Solo Lite footnote is cross-locale boilerplate.,,R4,primary_verified,Payments Plus,,,,,true,
LT,SumUp,any,online,,169,,0,,,,,https://www.sumup.com/lt-lt/mokejimu-planas-plus/,"mokėjimams internetu taikomas 1,69% mokestis",2026-08-19,,any,any,any,any,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Separate official online statement; invoice confirmation remains useful but is not required for seeding.,,R4,primary_verified,"Payment Links, Bookings and digital products",,,,,true,
IT,UniCredit,2026_new_subscription_promo,in_store,,75,,1290,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"Bancomat/BancomatPay 0,75%",2026-08-19,,pagobancomat,debit,domestic,standard,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,POS_GSM_CORDLESS_WIFI_PUBLIC,6260,6,990,4990,conditional,2028-02-15
IT,UniCredit,2026_new_subscription_promo,in_store,,90,,1290,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"Carte Consumer EEA 0,90%",2026-08-19,,any,any,eea,standard,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,POS_GSM_CORDLESS_WIFI_PUBLIC,6260,6,990,4990,conditional,2028-02-15
IT,UniCredit,2026_new_subscription_promo,in_store,,200,,1290,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"Carte Consumer extra EEA 2,00%",2026-08-19,,any,any,non_eea,standard,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,POS_GSM_CORDLESS_WIFI_PUBLIC,6260,6,990,4990,conditional,2028-02-15
IT,UniCredit,2026_new_subscription_promo,in_store,,210,,1290,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"Carte Commercial 2,10%",2026-08-19,,any,any,eea,commercial,,false,any,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,POS_GSM_CORDLESS_WIFI_PUBLIC,6260,6,990,4990,conditional,2028-02-15
IT,UniCredit,2026_new_subscription_promo,online,,125,,990,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"BancomatPay 1,25%",2026-08-19,,pagobancomat,debit,domestic,standard,,false,ecommerce_gateway,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,ECOM_BANK_PLATFORM,3200,6,,,conditional,2028-02-15
IT,UniCredit,2026_new_subscription_promo,online,,125,,990,,,,,https://www.unicredit.it/it/business/incassi-e-pagamenti/tutti-i-prodotti/acquiring/offerta-pos.html,"Carte Consumer EEA 1,25%",2026-08-19,,any,any,eea,standard,,false,ecommerce_gateway,R3,patch_v4.csv,,EUR,,,,,,published,SEEDABLE,Promo for new subscriptions signed by 2026-12-31; monthly fee zero only for first 6 months.,,R4,primary_verified,ECOM_BANK_PLATFORM,3200,6,,,conditional,2028-02-15
