cc,dato,valor,unidad,segmento,año,fuente_url,cita,confianza
GR,tope_regulatorio_comision_adquirente_operacion_pequena,0.50,pct_valor,MCC de pequeño comercio definidos; tarjeta de consumidor emitida en Grecia; operación hasta 10 EUR; exclusiones legales,2024,https://minfin.gov.gr/meiosi-50-ton-promitheion-sta-pos-gia-synallages-eos-10-evro-miniaia-analogiki-katavoli-telon-kykloforias-kai-dynatotita-arsis-akinisias-ochimaton-gia-to-2024/,"η προμήθεια ... δεν μπορεί να υπερβαίνει το 0,50% της αξίας της συναλλαγής [para operaciones hasta 10 euros]",ALTA | estado=COTA_REGULATORIA_NO_BASELINE | limitacion=Desde 20-01-2025 el umbral de operación se elevó a 20 EUR; no usar como media observada.
GR,share_tarjeta_transfronteriza_recibida_valor,32.9677,pct_valor,PSP del beneficiario residente en GR; emisor/PSP pagador extranjero; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W1.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W0.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025,"W1=25,290.23604934 EUR million; W0=76,712.1784916 EUR million; W1/W0=32.9677%","ALTA_FUENTE_MEDIA_AJUSTE | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Proxy por residencia del PSP del beneficiario, no prueba ubicación física del comercio ni retail-only; contradice la inferencia de 54% si ésta pretendía medir volumen extranjero por valor."
GR,share_tarjeta_fuera_EEE_recibida_valor,11.9083,pct_valor,PSP del beneficiario residente en GR; emisor/PSP pagador fuera del EEE; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.GR.G1.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W0.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025,"G1=9,135.0898535 EUR million; W0=76,712.1784916 EUR million; G1/W0=11.9083%",ALTA_FUENTE_MEDIA_AJUSTE | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Mismo límite de residencia del PSP/adquirente y todos los MCC.
GR,share_tarjeta_transfronteriza_recibida_numero,24.5165,pct_operaciones,PSP del beneficiario residente en GR; emisor/PSP pagador extranjero; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W1.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W0.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025,"W1=616.402787 million; W0=2,514.241223 million; W1/W0=24.5165%",ALTA_FUENTE_MEDIA_AJUSTE | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Proxy por residencia del PSP del beneficiario; no es comercio minorista doméstico puro.
GR,share_tarjeta_fuera_EEE_recibida_numero,7.1242,pct_operaciones,PSP del beneficiario residente en GR; emisor/PSP pagador fuera del EEE; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.GR.G1.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.GR.W0.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025,"G1=179.119060 million; W0=2,514.241223 million; G1/W0=7.1242%",ALTA_FUENTE_MEDIA_AJUSTE | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Proxy por residencia del PSP del beneficiario; no es comercio minorista doméstico puro.
HR,linea_base_coste_actual_pequeno_comercio,NO_ENCONTRADO,,Pequeño comercio independiente,2026-08-20,https://www.aztn.hr/en/interchange-fees-in-card-payments-in-croatia-higher-than-eu-average/,Estudio de 2014: average MSCs are more than two times higher [than] average MIFs; no publica una MSC absoluta utilizable.,BAJA_AJUSTE | estado=NO_ENCONTRADO | limitacion=La única evidencia oficial localizada es anterior al reglamento europeo de interchange y carece de tasa absoluta/estrato actual.
HR,share_tarjeta_extranjera_comercio_domestico_valor,23.2548,pct_valor,Compras de bienes y servicios aceptadas en Croacia; tarjetas emitidas en el extranjero,2024,https://www.hnb.hr/c/document_library/get_file?groupId=20182&p_auth=aIg4TLAC&uuid=132f2db1-f0a5-c06a-4a0d-005913d4d6ac,"Total bienes/servicios: 22,49 mil millones EUR; tarjetas extranjeras: 5,23 mil millones EUR; 5,23/22,49=23,2548%",ALTA | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Dato doméstico de aceptación sólido; contradice la inferencia de 44% por valor. No separa EEE/no EEE.
HR,share_tarjeta_extranjera_comercio_domestico_numero,16.3625,pct_operaciones,Compras de bienes y servicios aceptadas en Croacia; tarjetas emitidas en el extranjero,2024,https://www.hnb.hr/c/document_library/get_file?groupId=20182&p_auth=aIg4TLAC&uuid=132f2db1-f0a5-c06a-4a0d-005913d4d6ac,"Total bienes/servicios: 750,25 millones de operaciones; tarjetas extranjeras: 122,76 millones; 122,76/750,25=16,3625%",ALTA | estado=CALCULADO_DESDE_TOTALES_OFICIALES | limitacion=Dato doméstico de aceptación sólido; no separa EEE/no EEE.
HR,share_tarjeta_fuera_EEE_recibida_valor,7.0403,pct_valor,PSP del beneficiario residente en HR; emisor/PSP pagador fuera del EEE; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.HR.G1.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.HR.W0.CP0.2._Z.N.EUR?format=csvdata&startPeriod=2025&endPeriod=2025,"G1=1,593.02250762 EUR million; W0=22,627.28570318 EUR million; G1/W0=7.0403%",ALTA_FUENTE_MEDIA_AJUSTE | estado=PROXY_OFICIAL | limitacion=No equivale al dato HNB de comercios situados en Croacia: clasifica por residencia del PSP del beneficiario y cubre todos los MCC.
HR,share_tarjeta_fuera_EEE_recibida_numero,4.9202,pct_operaciones,PSP del beneficiario residente en HR; emisor/PSP pagador fuera del EEE; pagos con tarjeta recibidos; mundo,2025,https://data-api.ecb.europa.eu/service/data/PAY/A.HR.G1.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025 https://data-api.ecb.europa.eu/service/data/PAY/A.HR.W0.CP0.2._Z.N.PN?format=csvdata&startPeriod=2025&endPeriod=2025,G1=36.261798 million; W0=736.995446 million; G1/W0=4.9202%,ALTA_FUENTE_MEDIA_AJUSTE | estado=PROXY_OFICIAL | limitacion=Clasifica por residencia del PSP del beneficiario y cubre todos los MCC.
PL,linea_base_coste_actual_pequeno_comercio,NO_ENCONTRADO,,Pequeño comercio independiente; coste actual por transacción o %,2026-08-20,https://nbp.pl/en/payment-system/statistical-data/analyzes-and-studies/costs-of-payment-instruments-on-the-polish-market/,"El último estudio oficial localizado publica costes agregados históricos, no una tasa actual ni un estrato de pequeño comercio.",ALTA_FUENTE_BAJA_ACTUALIDAD_AJUSTE | estado=NO_ENCONTRADO | limitacion=Datos base 2015 y estimación 2018; no extrapolados a 2026.
PL,coste_privado_comerciantes_tarjeta_debito_total,2651.17,PLN_millones,Comerciantes y empresas de servicios; débito; agregado nacional,2015,https://nbp.pl/wp-content/uploads/2023/01/costs-of-payment-instruments-broken-down-into-fixed-variable-costs.pdf,"Debit card: fixed 541.06; variable per number 1,091.67; variable per value 1,018.44; total 2,651.17 [PLN million]",ALTA_FUENTE_BAJA_ACTUALIDAD_AJUSTE | estado=HISTORICO_AGREGADO_NO_SIZE | limitacion=No hay denominador/tasa en la tabla y el dato es pre-2020.
PL,coste_privado_comerciantes_tarjeta_credito_total,437.76,PLN_millones,Comerciantes y empresas de servicios; crédito; agregado nacional,2015,https://nbp.pl/wp-content/uploads/2023/01/costs-of-payment-instruments-broken-down-into-fixed-variable-costs.pdf,Credit card: fixed 74.41; variable per number 150.11; variable per value 213.24; total 437.76 [PLN million],ALTA_FUENTE_BAJA_ACTUALIDAD_AJUSTE | estado=HISTORICO_AGREGADO_NO_SIZE | limitacion=No hay denominador/tasa en la tabla y el dato es pre-2020.
CZ,comision_adquirencia_tienda_fisica_rango_volumen_bajo,1.75-4.00,pct_valor,Tiendas físicas; volumen mensual de tarjeta 22.500-32.499 CZK; encuesta a comerciantes,2017,https://mf.gov.cz/assets/attachments/Studie_2018-02-16_Vyhodnoceni-dopadu-narizeni-MIF-obchodnici.pdf,"v intervalu objemu plateb od 22 500 do 32 499 Kč měsíčně mohou obchodníci platit 4 % i 1,75 %","ALTA_FUENTE_MEDIA_AJUSTE_HISTORICO | estado=SEGMENTADO_POR_VOLUMEN_HISTORICO | limitacion=Es la mejor segmentación oficial localizada, pero datos 2017; 106 comercios y no necesariamente representativa en 2026."
CZ,comision_adquirencia_tienda_fisica_rango_volumen_medio,0.90-2.80,pct_valor,Tiendas físicas; volumen mensual de tarjeta alrededor de 150.000 CZK; encuesta a comerciantes,2017,https://mf.gov.cz/assets/attachments/Studie_2018-02-16_Vyhodnoceni-dopadu-narizeni-MIF-obchodnici.pdf,"kolem 150 tis. Kč ... minimální hodnota 0,9 %, maximální 2,8 %","ALTA_FUENTE_MEDIA_AJUSTE_HISTORICO | estado=SEGMENTADO_POR_VOLUMEN_HISTORICO | limitacion=Histórico; sirve como evidencia del efecto tamaño, no como tarifa actual."
CY,linea_base_coste_actual_pequeno_comercio,NO_ENCONTRADO,,Pequeño comercio independiente,2026-08-20,https://www.competition.gov.cy/competition/competition.nsf/All/8094AE706B5FD108C22582330039199D?OpenDocument=,"La decisión oficial constata Merchant Service Charges injustas de JCC, pero no aporta una tasa actual y segmentada utilizable.",MEDIA | estado=NO_ENCONTRADO | limitacion=La decisión es de 2018 y no resuelve coste actual ni tamaño.
CY,share_transfronterizo_tarjetas_emitidas_CY_valor,56,pct_valor,Pagos con tarjetas emitidas por PSP de Chipre; país del PSP contraparte; no tarjetas extranjeras en comercios chipriotas,2025-S2,https://www.centralbank.cy/images/media/pdf/Statistical%20release_S2_2025_ENG.pdf,Cross-border transactions accounted for 45% ... volume and 56% ... value,"ALTA_FUENTE_NULA_AJUSTE_AL_MIX_PEDIDO | estado=AMBITO_INCORRECTO_NO_USAR | limitacion=El 56% coincide con la inferencia del proyecto, pero mide pagos transfronterizos de tarjetas chipriotas, no proporción de tarjeta extranjera/no EEE en comercios de Chipre."
CY,share_transfronterizo_tarjetas_emitidas_CY_numero,45,pct_operaciones,Pagos con tarjetas emitidas por PSP de Chipre; país del PSP contraparte; no tarjetas extranjeras en comercios chipriotas,2025-S2,https://www.centralbank.cy/images/media/pdf/Statistical%20release_S2_2025_ENG.pdf,Cross-border transactions accounted for 45% ... volume and 56% ... value,ALTA_FUENTE_NULA_AJUSTE_AL_MIX_PEDIDO | estado=AMBITO_INCORRECTO_NO_USAR | limitacion=La metodología clasifica por área geográfica del PSP contraparte; el propio informe señala efectos fintech (Lituania/Irlanda).
CY,share_tarjeta_extranjera_o_fuera_EEE_comercio_domestico,NO_ENCONTRADO,,Comercios situados en Chipre; tarjetas emitidas fuera de Chipre/fuera del EEE,2026-08-20,https://www.centralbank.cy/images/media/pdf/Statistical%20release_S2_2025_ENG.pdf,"Card acquiring is not presented separately nor analyzed in this report, as they relate to receiving and processing card payments for merchants, not sending payments.",ALTA | estado=NO_ENCONTRADO | limitacion=El CBC confirma expresamente que no presenta ni analiza adquirencia; no se convierte el 56% de otra población ni un proxy ECB con ubicación W0=mundo en merchant mix chipriota.
